n_holders,parametro_dist,n_rodadas,reinveste_recompensa,rodada,gini
200,1.1,5,0.5,1,0.6878453038920176
200,1.1,5,0.5,2,0.7631396980115763
200,1.1,5,0.5,3,0.8144945448275691
200,1.1,5,0.5,4,0.8467631665446596
200,1.1,5,0.5,5,0.8668844273937986
200,1.1,5,0.5,1,0.7162268533124754
200,1.1,5,0.5,2,0.7861183626949888
200,1.1,5,0.5,3,0.8292902799043382
200,1.1,5,0.5,4,0.8576783293294228
200,1.1,5,0.5,5,0.8751468628218488
200,1.1,5,0.5,1,0.7889137063745129
200,1.1,5,0.5,2,0.8328857112285204
200,1.1,5,0.5,3,0.8591689893122474
200,1.1,5,0.5,4,0.8779297586445725
200,1.1,5,0.5,5,0.8892386558721379
200,1.1,5,0.5,1,0.5111348497773902
200,1.1,5,0.5,2,0.6457890514962623
200,1.1,5,0.5,3,0.7329812176983792
200,1.1,5,0.5,4,0.7898534371332575
200,1.1,5,0.5,5,0.826090073922727
200,1.1,5,0.5,1,0.6000629179295256
200,1.1,5,0.5,2,0.7040902159210538
200,1.1,5,0.5,3,0.7706097763934991
200,1.1,5,0.5,4,0.8131646190255244
200,1.1,5,0.5,5,0.840952761917833
200,1.1,5,0.5,1,0.8379094696771796
200,1.1,5,0.5,2,0.864929749483403
200,1.1,5,0.5,3,0.8777824715694962
200,1.1,5,0.5,4,0.8892201839941696
200,1.1,5,0.5,5,0.8970448250970706
200,1.1,5,0.5,1,0.5981324192654578
200,1.1,5,0.5,2,0.703943490452756
200,1.1,5,0.5,3,0.773220333415829
200,1.1,5,0.5,4,0.8169612655161018
200,1.1,5,0.5,5,0.8451836539959814
200,1.1,5,0.5,1,0.6519028119874359
200,1.1,5,0.5,2,0.7372590477101586
200,1.1,5,0.5,3,0.7953332926643164
200,1.1,5,0.5,4,0.8327027984350568
200,1.1,5,0.5,5,0.8555808591360681
200,1.1,5,0.5,1,0.5713326892832973
200,1.1,5,0.5,2,0.6867224864918473
200,1.1,5,0.5,3,0.7615887114132136
200,1.1,5,0.5,4,0.8093968921252293
200,1.1,5,0.5,5,0.8401420517932747
200,1.1,5,0.5,1,0.8553570204296981
200,1.1,5,0.5,2,0.8775294292963756
200,1.1,5,0.5,3,0.8935516949634921
200,1.1,5,0.5,4,0.9026172756120747
200,1.1,5,0.5,5,0.9064010764098531
200,1.1,5,0.5,1,0.6972203538794457
200,1.1,5,0.5,2,0.7702459275675948
200,1.1,5,0.5,3,0.8201504909771014
200,1.1,5,0.5,4,0.8513901767020216
200,1.1,5,0.5,5,0.8700700055374933
200,1.1,5,0.5,1,0.6317332463275356
200,1.1,5,0.5,2,0.7273461133894012
200,1.1,5,0.5,3,0.7884198072166477
200,1.1,5,0.5,4,0.827365494561388
200,1.1,5,0.5,5,0.8526016812311035
200,1.1,5,0.5,1,0.7061828626676834
200,1.1,5,0.5,2,0.7761596692507511
200,1.1,5,0.5,3,0.82150109417594
200,1.1,5,0.5,4,0.849544197897981
200,1.1,5,0.5,5,0.8657226424970399
200,1.1,5,0.5,1,0.6161560836541662
200,1.1,5,0.5,2,0.7161518050055391
200,1.1,5,0.5,3,0.78086829403924
200,1.1,5,0.5,4,0.8228727769478821
200,1.1,5,0.5,5,0.8490689508875129
200,1.1,5,0.5,1,0.5796004842673228
200,1.1,5,0.5,2,0.6922409587963632
200,1.1,5,0.5,3,0.7647915362331896
200,1.1,5,0.5,4,0.8111306858218414
200,1.1,5,0.5,5,0.8402018133114726
200,1.1,5,0.5,1,0.4583272326988186
200,1.1,5,0.5,2,0.6114109660726861
200,1.1,5,0.5,3,0.7105725753360845
200,1.1,5,0.5,4,0.7743460326772633
200,1.1,5,0.5,5,0.8153707720567616
200,1.1,5,0.5,1,0.6859294544103312
200,1.1,5,0.5,2,0.7632700298975077
200,1.1,5,0.5,3,0.81389262213107
200,1.1,5,0.5,4,0.8455354920944504
200,1.1,5,0.5,5,0.8649489741848766
200,1.1,5,0.5,1,0.5883345350377023
200,1.1,5,0.5,2,0.6984627013029427
200,1.1,5,0.5,3,0.7693318671351419
200,1.1,5,0.5,4,0.8143532747734259
200,1.1,5,0.5,5,0.8424899339269989
200,1.1,5,0.5,1,0.7762153519532244
200,1.1,5,0.5,2,0.8230951052146258
200,1.1,5,0.5,3,0.8548028568061257
200,1.1,5,0.5,4,0.8745234008689451
200,1.1,5,0.5,5,0.8860304399469221
200,1.1,5,0.5,1,0.6260739688120873
200,1.1,5,0.5,2,0.7225607294261378
200,1.1,5,0.5,3,0.7859309161977197
200,1.1,5,0.5,4,0.8265176843626905
200,1.1,5,0.5,5,0.8514050458924503
200,1.1,5,0.5,1,0.7878997307585702
200,1.1,5,0.5,2,0.8326739852743104
200,1.1,5,0.5,3,0.8613114197412999
200,1.1,5,0.5,4,0.8789068023663129
200,1.1,5,0.5,5,0.8889601577512782
200,1.1,5,0.5,1,0.7180664524776652
200,1.1,5,0.5,2,0.779259058688542
200,1.1,5,0.5,3,0.8241395288683522
200,1.1,5,0.5,4,0.8525165243056403
200,1.1,5,0.5,5,0.8698620917062263
200,1.1,5,0.5,1,0.6013606494507995
200,1.1,5,0.5,2,0.7065931366391227
200,1.1,5,0.5,3,0.7758327755970185
