id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-185907,40,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,produzido,4.833333,0.135641,30,0
20260703-185907,41,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,stake,7.566667,0.180357,30,0
20260703-185907,41,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,eleito,7.4,0.178305,30,0
20260703-185907,41,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,42,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,stake,7.066667,0.090788,30,0
20260703-185907,42,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,eleito,7.466667,0.181577,30,0
20260703-185907,42,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,43,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,stake,27.8,3.734715,30,0
20260703-185907,43,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,eleito,4.833333,0.135641,30,0
20260703-185907,43,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,produzido,4.766667,0.153939,30,0
20260703-185907,44,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,stake,7.0,0.0,30,0
